epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10614,0.55502,0.33291,0.89992,0.97346,0.95746,0.98637,0.84064,0.61396,0.33163,0.8985,0.00030027,0.00030027,0.00030027
2,16.1067,0.57623,0.34568,0.896,0.97309,0.96262,0.9878,0.83499,0.63062,0.33762,0.90287,0.000483823,0.000483823,0.000483823
3,24.2221,0.58486,0.35785,0.904,0.96521,0.95796,0.98937,0.8404,0.63416,0.34606,0.9073,0.000547387,0.000547387,0.000547387
4,32.5979,0.57852,0.3521,0.9041,0.9456,0.98439,0.98539,0.83769,0.62436,0.33159,0.8996,0.000369054,0.000369054,0.000369054
5,40.2351,0.55125,0.33446,0.89317,0.97343,0.9654,0.98619,0.8574,0.60259,0.3141,0.88856,0.000189072,0.000189072,0.000189072
